File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2500.0000,34.2000,D,420685.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2600.0000,34.2100,D,418085.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2800.0000,34.2200,D,415285.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,3200.0000,34.1800,D,412085.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,8700.0000,34.2400,D,403385.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,14900.0000,34.2300,D,388485.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,27800.0000,34.2500,D,360685.7483,D
0001225208-15-003953,MADDALUNA ANTHONY J,0,1,0,Common Stock,2015-02-12,1100.0000,34.8600,D,78152.0000,D
0001225208-15-003953,MADDALUNA ANTHONY J,0,1,0,Common Stock,2015-02-12,7900.0000,34.8500,D,70252.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,104000.0000,26.2000,A,288775.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,200.0000,34.6900,D,288575.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,1400.0000,34.8100,D,287175.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,1800.0000,34.7800,D,285375.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,3100.0000,34.7700,D,282275.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,5589.0000,34.7600,D,276686.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,5900.0000,34.7500,D,270786.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,6200.0000,34.8000,D,264586.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,9500.0000,34.7300,D,255086.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,13000.0000,34.7200,D,242086.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,13111.0000,34.7100,D,228975.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,17100.0000,34.7000,D,211875.0000,D
0001225208-15-004330,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-13,27100.0000,34.7400,D,184775.0000,D
0001225208-15-005489,SUSMAN SALLY,0,1,0,Common Stock,2015-02-23,10218.0000,34.3900,D,165512.0000,D
0001225208-15-005490,OLSON LAURIE J,0,1,0,Common Stock,2015-02-23,2220.0000,34.3900,D,60125.0000,D
0001225208-15-005491,MADDALUNA ANTHONY J,0,1,0,Common Stock,2015-02-23,4968.0000,34.3900,D,65284.0000,D
0001225208-15-005492,Lewis-Hall Freda C,0,1,0,Common Stock,2015-02-23,8196.0000,34.3900,D,126631.0000,D
0001225208-15-005493,LANKLER DOUGLAS M,0,1,0,Common Stock,2015-02-23,4086.0000,34.3900,D,108586.0000,D
0001225208-15-005494,JOHNSON RADY A,0,1,0,Common Stock,2015-02-23,1727.0000,34.3900,D,36824.0000,D
0001225208-15-005495,HILL CHARLES H,0,1,0,Common Stock,2015-02-23,8206.0000,34.3900,D,99049.0000,D
0001225208-15-005496,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-23,20016.0000,34.3900,D,340669.7483,D
0001225208-15-005497,CANGIALOSI LORETTA V,0,1,0,Common Stock,2015-02-23,3413.0000,34.3900,D,181362.0000,D
0001225208-15-005498,BOURLA ALBERT,0,1,0,Common Stock,2015-02-23,3362.0000,34.3900,D,98687.0000,D
0001225208-15-006192,BOURLA ALBERT,0,1,0,Common Stock,2015-02-25,15484.0000,17.6900,A,114171.0000,D
