TRANS_DATE,DSHARES
2023-03-14,58101.5
2023-03-16,15743.5
2023-03-21,19058.0
2023-03-24,67405.5
2023-03-28,8012.5
2023-04-06,5852.0
2023-04-09,1.0
2023-04-19,14480.5
2023-05-05,44292.5
2023-06-10,56117.0
2023-06-22,2001.5
2023-06-23,2579.5
2023-06-24,1.0
2023-07-02,29.5
2023-07-06,4939.5
2023-08-12,1.5
2023-08-16,10730.0
2023-08-20,1.0
2023-08-21,18372.0
2023-08-23,51716.5
